name,version,latestVersion,repository,published,publisher,size,license,isProd,isDev,isOptional,isPeer,isBundled,parents
"scholar","0.1.0","-","-","-","-","-","-",false,false,false,false,false,""
"@ampproject/remapping","2.2.0","-","-","-","-","-","-",false,true,false,false,false,"@babel/core@7.19.6"
"@apollo/client","3.7.0","3.7.10","git+https://github.com/apollographql/apollo-client.git","2022-09-30T17:05:23.683Z","apollo-bot (npm@apollographql.com)",4389827,"MIT",true,false,false,false,false,"scholar@0.1.0"
"@babel/code-frame","7.18.6","-","-","-","-","-","-",false,true,false,false,false,"@babel/core@7.12.9,@babel/template@7.18.10,@babel/traverse@7.19.6,fork-ts-checker-webpack-plugin@6.5.2,@testing-library/dom@8.16.0,parse-json@5.2.0"
"@babel/compat-data","7.19.4","-","-","-","-","-","-",false,true,false,false,false,"@babel/helper-compilation-targets@7.19.3,@babel/plugin-proposal-object-rest-spread@7.18.6,@babel/preset-env@7.18.6,babel-plugin-polyfill-corejs2@0.3.1"
"@babel/core","7.19.6","-","-","-","-","-","-",false,true,false,true,false,"@jest/transform@26.6.2,@storybook/builder-webpack4@6.5.12,@storybook/builder-webpack5@6.5.12,@storybook/core-common@6.5.12,@storybook/csf-tools@6.5.12,@storybook/docs-tools@6.5.12,@storybook/manager-webpack4@6.5.12,@storybook/manager-webpack5@6.5.12,istanbul-lib-instrument@5.2.1,react-docgen@5.4.3,scholar@0.1.0,@babel/helper-compilation-targets@7.19.3,@babel/helper-create-class-features-plugin@7.19.0,@babel/helper-create-regexp-features-plugin@7.18.6,@babel/helper-define-polyfill-provider@0.1.5,@babel/helper-remap-async-to-generator@7.18.6,@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression@7.18.6,@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining@7.18.6,@babel/plugin-proposal-async-generator-functions@7.18.6,@babel/plugin-proposal-class-properties@7.18.6,@babel/plugin-proposal-class-static-block@7.18.6,@babel/plugin-proposal-decorators@7.19.6,@babel/plugin-proposal-dynamic-import@7.18.6,@babel/plugin-proposal-export-default-from@7.18.10,@babel/plugin-proposal-export-namespace-from@7.18.6,@babel/plugin-proposal-json-strings@7.18.6,@babel/plugin-proposal-logical-assignment-operators@7.18.6,@babel/plugin-proposal-nullish-coalescing-operator@7.18.6,@babel/plugin-proposal-numeric-separator@7.18.6,@babel/plugin-proposal-object-rest-spread@7.12.1,@babel/plugin-proposal-optional-catch-binding@7.18.6,@babel/plugin-proposal-optional-chaining@7.18.6,@babel/plugin-proposal-private-methods@7.18.6,@babel/plugin-proposal-private-property-in-object@7.18.6,@babel/plugin-proposal-unicode-property-regex@7.18.6,@babel/plugin-syntax-async-generators@7.8.4,@babel/plugin-syntax-class-properties@7.12.13,@babel/plugin-syntax-class-static-block@7.14.5,@babel/plugin-syntax-decorators@7.19.0,@babel/plugin-syntax-dynamic-import@7.8.3,@babel/plugin-syntax-export-default-from@7.18.6,@babel/plugin-syntax-export-namespace-from@7.8.3,@babel/plugin-syntax-flow@7.18.6,@babel/plugin-syntax-import-assertions@7.18.6,@babel/plugin-syntax-json-strings@7.8.3,@babel/plugin-syntax-jsx@7.12.1,@babel/plugin-syntax-logical-assignment-operators@7.10.4,@babel/plugin-syntax-nullish-coalescing-operator@7.8.3,@babel/plugin-syntax-numeric-separator@7.10.4,@babel/plugin-syntax-object-rest-spread@7.8.3,@babel/plugin-syntax-optional-catch-binding@7.8.3,@babel/plugin-syntax-optional-chaining@7.8.3,@babel/plugin-syntax-private-property-in-object@7.14.5,@babel/plugin-syntax-top-level-await@7.14.5,@babel/plugin-syntax-typescript@7.18.6,@babel/plugin-transform-arrow-functions@7.18.6,@babel/plugin-transform-async-to-generator@7.18.6,@babel/plugin-transform-block-scoped-functions@7.18.6,@babel/plugin-transform-block-scoping@7.18.6,@babel/plugin-transform-classes@7.18.8,@babel/plugin-transform-computed-properties@7.18.6,@babel/plugin-transform-destructuring@7.18.6,@babel/plugin-transform-dotall-regex@7.18.6,@babel/plugin-transform-duplicate-keys@7.18.6,@babel/plugin-transform-exponentiation-operator@7.18.6,@babel/plugin-transform-flow-strip-types@7.18.6,@babel/plugin-transform-for-of@7.18.8,@babel/plugin-transform-function-name@7.18.6,@babel/plugin-transform-literals@7.18.6,@babel/plugin-transform-member-expression-literals@7.18.6,@babel/plugin-transform-modules-amd@7.18.6,@babel/plugin-transform-modules-commonjs@7.18.6,@babel/plugin-transform-modules-systemjs@7.18.6,@babel/plugin-transform-modules-umd@7.18.6,@babel/plugin-transform-named-capturing-groups-regex@7.18.6,@babel/plugin-transform-new-target@7.18.6,@babel/plugin-transform-object-super@7.18.6,@babel/plugin-transform-parameters@7.18.8,@babel/plugin-transform-property-literals@7.18.6,@babel/plugin-transform-react-display-name@7.18.6,@babel/plugin-transform-react-jsx@7.18.6,@babel/plugin-transform-react-jsx-development@7.18.6,@babel/plugin-transform-react-pure-annotations@7.18.6,@babel/plugin-transform-regenerator@7.18.6,@babel/plugin-transform-reserved-words@7.18.6,@babel/plugin-transform-shorthand-properties@7.18.6,@babel/plugin-transform-spread@7.18.6,@babel/plugin-transform-sticky-regex@7.18.6,@babel/plugin-transform-template-literals@7.18.6,@babel/plugin-transform-typeof-symbol@7.18.6,@babel/plugin-transform-typescript@7.19.3,@babel/plugin-transform-unicode-escapes@7.18.6,@babel/plugin-transform-unicode-regex@7.18.6,@babel/preset-env@7.18.6,@babel/preset-flow@7.18.6,@babel/preset-modules@0.1.5,@babel/preset-react@7.18.6,@babel/preset-typescript@7.18.6,@babel/register@7.18.9,@storybook/addon-essentials@6.5.12,babel-plugin-polyfill-corejs3@0.5.2,@storybook/react@6.5.12,babel-loader@8.2.5,babel-plugin-apply-mdx-type-prop@1.6.22,babel-plugin-polyfill-corejs2@0.3.1,babel-plugin-polyfill-regenerator@0.3.1"
"@babel/generator","7.19.6","-","-","-","-","-","-",false,true,false,false,false,"@babel/core@7.12.9,@babel/traverse@7.19.6,@storybook/csf-tools@6.5.12,@storybook/mdx1-csf@0.0.1,react-docgen@5.4.3"
"@jridgewell/gen-mapping","0.3.2","-","-","-","-","-","-",false,true,false,false,false,"@babel/generator@7.19.6,@jridgewell/source-map@0.3.2"
"@babel/helper-annotate-as-pure","7.18.6","-","-","-","-","-","-",false,true,false,false,false,"@babel/helper-create-class-features-plugin@7.19.0,@babel/helper-create-regexp-features-plugin@7.18.6,@babel/helper-remap-async-to-generator@7.18.6,@babel/plugin-proposal-private-property-in-object@7.18.6,@babel/plugin-transform-classes@7.18.8,@babel/plugin-transform-react-jsx@7.18.6,@babel/plugin-transform-react-pure-annotations@7.18.6"
"@babel/helper-builder-binary-assignment-operator-visitor","7.18.6","-","-","-","-","-","-",false,true,false,false,false,"@babel/plugin-transform-exponentiation-operator@7.18.6"
